"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"269","This year’s deadly flu made the quest for a universal flu shot more urgent https://t.co/Kf5lNI0z0Q https://t.co/OH0jAlBnYr",FALSE,0,NA,2018-03-06 17:25:28,FALSE,NA,"971074295546990593",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","big4all",0,FALSE,FALSE,NA,NA
"270","This year's deadly &lt;b&gt;flu&lt;/b&gt; made the quest for a universal &lt;b&gt;flu&lt;/b&gt; shot more urgent… https://t.co/I0Leali9eQ",FALSE,0,NA,2018-03-06 17:24:54,FALSE,NA,"971074151585910785",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","Pandemia_Info",0,FALSE,FALSE,NA,NA
"271","This year’s deadly flu made the quest for a universal flu shot more urgent https://t.co/yLpLxqWR6m https://t.co/jaGxirt11S",FALSE,0,NA,2018-03-06 17:24:08,FALSE,NA,"971073962330468352",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","qanuj",0,FALSE,FALSE,NA,NA
"272","This year’s deadly flu made the quest for a universal flu shot more urgent https://t.co/r5VYLOV1UG https://t.co/WtxNLMRp10",FALSE,0,NA,2018-03-06 17:24:04,FALSE,NA,"971073942717808640",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","gadgetmanjay",0,FALSE,FALSE,NA,NA
"273","How long til I get one flu shot and never have the flu again? Well…. a while https://t.co/3lMaLBB51Z",FALSE,0,NA,2018-03-06 17:21:14,FALSE,NA,"971073232404008960",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","mslopatto",1,FALSE,FALSE,NA,NA
"274","RT @VergeScience: This year’s deadly flu made the quest for a universal flu shot more urgent https://t.co/QynMOZ10ds https://t.co/Zbwo15EkXR",FALSE,0,NA,2018-03-06 17:20:36,FALSE,NA,"971073071808434176",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SinDelano",1,TRUE,FALSE,NA,NA
"275","This year’s deadly flu made the quest for a universal flu shot more urgent - https://t.co/Qyzc1L31kS via #TheVerge https://t.co/0hNVPOxQqz",FALSE,0,NA,2018-03-06 17:19:52,FALSE,NA,"971072884700532740",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","GinoRamirezB",0,FALSE,FALSE,NA,NA
"276","This year’s deadly flu made the quest for a universal flu shot more urgent https://t.co/QynMOZ10ds https://t.co/Zbwo15EkXR",FALSE,1,NA,2018-03-06 17:19:41,FALSE,NA,"971072839490129920",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","VergeScience",1,FALSE,FALSE,NA,NA
"277","This year’s deadly flu made the quest for a universal flu shot more urgent https://t.co/1YOSaucrPI #news #tech",FALSE,0,NA,2018-03-06 17:18:39,FALSE,NA,"971072578910597121",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","liquidskydesign",0,FALSE,FALSE,NA,NA
"278","This year’s deadly flu made the quest for a universal flu shot more urgent https://t.co/FWXUu9GHxJ ••• https://t.co/1feJQqaAXl",FALSE,0,NA,2018-03-06 17:18:35,FALSE,NA,"971072563421044742",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","TheVergeZero",0,FALSE,FALSE,NA,NA
"279","RT @verge: This year’s deadly flu made the quest for a universal flu shot more urgent https://t.co/qyRZQEI6F3 https://t.co/FuhKIoS6ad",FALSE,0,NA,2018-03-06 17:18:14,FALSE,NA,"971072474988384256",NA,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>","reina_smize",13,TRUE,FALSE,NA,NA
"280","This year’s deadly flu made the quest for a universal flu shot more urgent https://t.co/xJvMndnO8r",FALSE,0,NA,2018-03-06 17:17:44,FALSE,NA,"971072351323422720",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","elsupercom",0,FALSE,FALSE,NA,NA
"281","This year’s deadly flu made the quest for a universal flu shot more urgent https://t.co/EqEW6hc9QQ",FALSE,0,NA,2018-03-06 17:17:38,FALSE,NA,"971072323708219393",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","fastnewstech",0,FALSE,FALSE,NA,NA
"282","This year’s deadly flu made the quest for a universal flu shot more urgent https://t.co/5CMLZmD9Kh https://t.co/XROF6QAxVl",FALSE,0,NA,2018-03-06 17:17:04,FALSE,NA,"971072183169503232",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","Promo_Madness",0,FALSE,FALSE,NA,NA
"283","This year’s deadly flu made the quest for a universal flu shot more urgent https://t.co/sVe8R6FlCs https://t.co/5DZbdBD6VO",FALSE,0,NA,2018-03-06 17:17:03,FALSE,NA,"971072179897905152",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","rss2_theverge",0,FALSE,FALSE,NA,NA
"284","This year’s deadly flu made the quest for a universal flu shot more urgent https://t.co/L2IUUBpPnH",FALSE,0,NA,2018-03-06 17:16:52,FALSE,NA,"971072129813893120",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","DirkStrauss",0,FALSE,FALSE,NA,NA
